role_name,permission_name
Anggota PSDA,view.attendance.all
Anggota Produksi,view.attendance.own
Anggota Produksi,checkin.attendance
Anggota Produksi,view.schedule.own
Anggota Produksi,input.availability
Anggota Produksi,view.swap.own
Anggota Produksi,create.swap.request
Anggota Produksi,approve.swap.target
Anggota Produksi,view.leave.own
Anggota Produksi,create.leave.request
Anggota Produksi,view.penalty.own
Anggota Produksi,appeal.penalty
Anggota Produksi,view.sales.own
Anggota Produksi,view.products
Anggota Produksi,view.purchases
Anggota Produksi,create.purchases
Anggota Desain,view.attendance.own
Anggota Desain,checkin.attendance
Anggota Desain,view.schedule.own
Anggota Desain,input.availability
Anggota Desain,view.swap.own
Anggota Desain,create.swap.request
Anggota Desain,approve.swap.target
Anggota Desain,view.leave.own
Anggota Desain,create.leave.request
Anggota Desain,view.penalty.own
Anggota Desain,appeal.penalty
Anggota Desain,view.sales.own
Anggota Desain,view.products
Anggota Desain,view.desain.assets
